iter	Passed	Remaining
0	141	141300
1	143	71619
2	145	48196
3	146	36404
4	147	29303
5	148	24571
6	148	21121
7	149	18545
8	150	16591
9	151	14996
10	152	13671
11	152	12582
12	155	11791
13	156	11055
14	157	10361
15	159	9802
16	160	9298
17	161	8830
18	162	8393
19	163	7999
20	164	7648
21	164	7321
22	165	7020
23	165	6744
24	166	6491
25	167	6289
26	169	6104
27	170	5925
28	171	5745
29	172	5588
30	174	5445
31	175	5294
32	175	5152
33	176	5011
34	177	4884
35	177	4762
36	178	4645
37	179	4533
38	179	4426
39	180	4325
40	180	4230
41	182	4172
42	184	4114
43	185	4036
44	187	3970
45	188	3903
46	189	3838
47	190	3772
48	190	3706
49	191	3645
50	192	3582
51	193	3522
52	193	3464
53	194	3407
54	195	3354
55	197	3327
56	198	3282
57	199	3234
58	200	3196
59	201	3158
60	202	3118
61	203	3076
62	203	3033
63	204	2993
64	205	2956
65	206	2918
66	206	2880
67	207	2844
68	208	2810
69	209	2785
70	211	2769
71	212	2741
72	213	2712
73	214	2687
74	215	2662
75	216	2637
76	217	2611
77	218	2583
78	219	2557
79	220	2531
80	220	2507
81	221	2484
82	222	2456
83	222	2431
84	223	2407
85	225	2398
86	227	2383
87	228	2364
88	229	2346
89	230	2327
90	231	2308
91	232	2290
92	232	2270
93	233	2250
94	234	2230
95	234	2211
96	235	2191
97	236	2172
98	236	2154
99	237	2135
100	237	2117
101	241	2125
102	242	2111
103	243	2095
104	243	2079
105	244	2063
106	245	2047
107	246	2032
108	246	2016
109	247	2001
110	247	1985
111	248	1970
112	249	1956
113	249	1941
114	250	1927
115	251	1913
116	251	1898
117	252	1886
118	253	1873
119	254	1863
120	255	1859
121	256	1847
122	257	1836
123	258	1826
124	259	1815
125	259	1803
126	260	1791
127	261	1780
128	261	1768
129	262	1758
130	263	1748
131	264	1739
132	265	1730
133	266	1720
134	266	1710
135	267	1701
136	269	1696
137	270	1690
138	272	1686
139	273	1680
140	274	1671
141	274	1661
142	275	1652
143	276	1644
144	277	1636
145	278	1628
146	279	1619
147	279	1611
148	280	1603
149	281	1595
150	282	1586
151	282	1577
152	284	1575
153	286	1573
154	287	1565
155	288	1558
156	289	1554
157	290	1549
158	291	1543
159	292	1536
160	293	1526
161	293	1519
162	294	1512
